"CASE_STATUS","CASE_ORIGIN","CLOSED_DATE","CREATED_DATE","CASE_OWNER_TYPE","CUSTOMER_TYPE","PRODUCT_TYPE"
"Closed","Chat","2025-11-28 11:39:52.000000000","2025-11-25 04:47:50.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-28 11:36:17.000000000","2025-11-25 03:42:07.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-27 11:35:15.000000000","2025-11-24 04:21:40.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-26 11:25:07.000000000","2025-11-23 00:55:11.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-20 11:35:47.000000000","2025-11-15 23:56:04.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-19 11:29:44.000000000","2025-11-15 23:38:21.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-17 13:51:36.000000000","2025-11-14 01:57:52.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-17 13:58:03.000000000","2025-11-14 01:43:18.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-15 13:17:52.000000000","2025-11-12 04:50:09.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-15 13:11:15.000000000","2025-11-12 03:25:49.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-15 13:02:42.000000000","2025-11-12 02:05:02.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-12 16:55:47.000000000","2025-11-09 04:46:46.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-12 16:51:57.000000000","2025-11-09 04:22:59.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-12 16:50:15.000000000","2025-11-09 04:03:57.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-12 16:47:58.000000000","2025-11-09 03:41:49.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-12 16:44:48.000000000","2025-11-09 03:11:54.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-12 16:40:22.000000000","2025-11-09 02:26:42.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-12 16:24:09.000000000","2025-11-09 00:30:53.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-10 12:29:36.000000000","2025-11-07 04:31:35.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-09 12:40:31.000000000","2025-11-06 00:58:47.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-09 12:37:47.000000000","2025-11-06 00:29:41.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-08 11:47:44.000000000","2025-11-04 22:52:17.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-07 14:45:34.000000000","2025-11-03 23:24:02.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-06 13:01:17.000000000","2025-11-02 22:49:14.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-05 13:58:47.000000000","2025-11-02 01:21:35.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Solved","Chat","\N","2025-11-01 02:32:31.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Abandoned","Chat","2025-11-01 02:32:11.000000000","2025-11-01 02:30:59.000000000","Integration User (API Only)","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-04 15:20:58.000000000","2025-11-01 02:21:35.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-11-04 15:16:59.000000000","2025-11-01 01:45:55.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-31 15:39:16.000000000","2025-10-28 02:42:21.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-31 15:36:41.000000000","2025-10-28 02:26:05.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-31 15:29:58.000000000","2025-10-28 01:34:41.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-31 15:27:00.000000000","2025-10-28 01:08:26.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-30 12:37:27.000000000","2025-10-26 21:26:58.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-30 12:32:43.000000000","2025-10-26 20:41:38.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-29 14:08:22.000000000","2025-10-26 05:44:33.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-29 13:59:16.000000000","2025-10-26 03:46:16.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-28 14:57:44.000000000","2025-10-25 02:02:08.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-28 14:06:11.000000000","2025-10-24 21:13:46.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-28 14:02:15.000000000","2025-10-24 20:51:32.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-27 14:09:40.000000000","2025-10-24 02:01:56.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-27 13:44:15.000000000","2025-10-23 23:30:26.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-27 13:31:56.000000000","2025-10-23 22:18:28.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-25 12:39:59.000000000","2025-10-21 21:44:05.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2025-10-18 13:58:26.000000000","2025-10-15 03:22:12.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
